Residential buildings,Account number,Water meter
,,
134 S Professor St - Allencroft,-,High Flow
134 S Professor St - Allencroft,41-00490-1,Low Flow
40 W Lorain St - Asia House Quadrangle,"41-00130-1",High Flow 
40 W Lorain St - Asia House Quadrangle,"41-00131-1",Low Flow
208 N Professor St - Bailey House,"41-00020-1",High Flow
208 N Professor St - Bailey House,"41-00021-1",Low Flow
30 S Professor St - Baldwin Cottage,-,High Flow
30 S Professor St - Baldwin Cottage,"41-00410-1",Low Flow
148 N Professor St - Barnard House,41-00070-1,High Flow
148 N Professor St - Barnard House,"41-00071-1",Low Flow
145 Woodland St - Barrows Hall,-,High Flow
145 Woodland St - Barrows Hall,"41-00510-1",Low Flow
194 N Professor St - Burton Hall,"41-00050-1",High Flow
194 N Professor St - Burton Hall,"41-00051-1",Low Flow
140 W College St - Dascomb,41-00292-1,High Flow
140 W College St - Dascomb,41-00290-1,Low Flow
20 E Lorain St,-,High Flow
20 E Lorain St,24-14140-7,Low Flow
176 N Professor St - East Hall,41-00061-1,High Flow
176 N Professor St - East Hall,41-00060-1,Low Flow
93 Elm St - Fairchild House,41-00450-1,High Flow
93 Elm St - Fairchild House,41-00460-1,Low Flow
36 S Pleasant St - Firelands Dorm,26-10505-2,High Flow
36 S Pleasant St - Firelands Dorm,26-10506-1,Low Flow
113 W College St - Harkness House,-,High Flow
113 W College St - Harkness House,41-00390-1,Low Flow
216 S Professor St - Johnson House,-,High Flow
216 S Professor St - Johnson House,41-00520-1,Low Flow
104 S Professor St - Kade Dorm,-,High Flow
104 S Professor St - Kade Dorm,41-00470-1,Low Flow
169 N Professor St - Kahn Hall ,41-00097-1,High Flow
169 N Professor St - Kahn Hall ,41-00098-1,Low Flow
154 N Main St - Keep Cottage,41-00530-1,High Flow
154 N Main St - Keep Cottage,41-00540-1,Low Flow
126 Forest St - Lord Saunders Dorm,41-00480-1,High Flow
126 Forest St - Lord Saunders Dorm,41-00481-1,Low Flow
167 Woodland St - Noah Hall,41-00192-1,High Flow
167 Woodland St - Noah Hall,41-00190-1,Low Flow
95 Union St - Langston Hall,41-00030-1,High Flow
95 Union St - Langston Hall,41-00031-1,Low Flow
207 S Professor St - Old Barrows Dorm,-,High Flow
207 S Professor St - Old Barrows Dorm,"41-00510-1",Low Flow
121 Elm St - South Hall,-,High Flow
121 Elm St - South Hall,41-00440-1,Low Flow
2 S Professor St - Talcott Hall,41-00385-1,High Flow
2 S Professor St - Talcott Hall,41-00370-1,Low Flow
110 E College St - Tank Hall,41-00612-1,High Flow
110 E College St - Tank Hall,41-00602-1,Low Flow
207 Woodland St - Zechial House,41-00180-1,High Flow
207 Woodland St - Zechial House,41-00181-1,Low Flow